sys-kernel/gentoo-sources: 73672 files, 4870 non-files, 1.0G 
sys-kernel/linux-firmware: 2976 files, 283 non-files, 983.4M 
dev-lang/go: 9232 files, 1044 non-files, 460.1M 
sys-kernel/gentoo-kernel-bin: 22358 files, 4148 non-files, 384.9M 
sys-kernel/gentoo-kernel: 21176 files, 3975 non-files, 350.7M 
sys-kernel/gentoo-kernel: 20536 files, 6705 non-files, 331.1M 
app-editors/vscodium: 961 files, 448 non-files, 328.0M 
dev-lang/rust: 126 files (118 unique), 26 non-files, 299.1M 
app-emulation/qemu: 155 files, 40 non-files, 277.1M 
www-client/google-chrome: 53 files, 37 non-files, 273.9M 
sys-devel/gcc: 1556 files (1552 unique), 92 non-files, 224.3M 
sys-devel/clang: 1329 files (1326 unique), 110 non-files, 213.1M 
www-client/firefox: 48 files, 40 non-files, 201.2M 
dev-lang/python: 7669 files, 274 non-files, 183.5M 
sys-kernel/genkernel: 369 files, 93 non-files, 176.0M 
app-containers/lxd: 387 files, 120 non-files, 175.6M 
app-containers/containerd: 46 files, 17 non-files, 172.5M 
sys-devel/llvm: 1987 files, 111 non-files, 167.3M 
dev-libs/boost: 15491 files, 1295 non-files, 149.4M 
net-analyzer/wireshark: 1194 files, 68 non-files, 135.5M 
app-benchmarks/geekbench: 4 files, 3 non-files, 127.6M 
sys-libs/glibc: 6556 files (6552 unique), 231 non-files, 125.1M 
dev-lang/python: 7512 files, 263 non-files, 113.2M 
app-emulation/virtualbox: 271 files, 46 non-files, 105.7M 
gui-libs/gtk: 9920 files, 39 non-files, 102.5M 
dev-python/scipy: 3589 files, 184 non-files, 93.4M 
app-containers/podman: 220 files, 24 non-files, 85.1M 
app-containers/docker: 116 files, 40 non-files, 82.3M 
media-libs/mesa: 66 files (58 unique), 22 non-files, 82.1M 
dev-python/pandas: 5603 files, 310 non-files, 76.7M 
dev-util/valgrind: 343 files, 17 non-files, 73.3M 
net-im/telegram-desktop: 11 files, 23 non-files, 69.5M 
dev-python/matplotlib: 3809 files, 116 non-files, 69.0M 
app-containers/cni-plugins: 36 files, 9 non-files, 66.4M 
dev-libs/mathjax: 32333 files, 1976 non-files, 64.4M 
dev-lang/perl: 1920 files (1919 unique), 326 non-files, 55.5M 
dev-util/cargo-c: 4 files, 2 non-files, 53.4M 
app-crypt/hashcat: 2125 files, 54 non-files, 51.3M 
media-gfx/gimp: 4803 files, 384 non-files, 50.6M 
dev-util/cmake: 3127 files, 77 non-files, 49.5M 
