# 3.9 AVX512 Instructions
# The AVX512 instructions includes the following subsets:
# AVX512BW    Vector Byte and Word Instructions
# AVX512DQ    Doubleword and Quadword Instructions
# AVX512VL    Vector Length Extensions
# AVX512CD    Conflict Detection Instructions
# AVX512ER    Exponential and Reciprocal Instructions
# AVX512IFMA  Integer Fused Multiply-Add Instructions
# AVX512PF    Prefetch Instructions
# AVX512VBMI  Vector Bit Manipulation Instructions
# Table 26  AVX512 Instructions
Intel/AMD Mnemonic		CPUID Feature Flag Description
KADDB		AVX512DQ Bitwise Logical AND Masks
KADDD		AVX512BW Add Two Masks
KADDQ		AVX512BW Add Two Masks
KADDW		AVX512DQ Add Two Masks
KANDB		AVX512DQ Bitwise Logical AND Masks
KANDD		AVX512BW Bitwise Logical AND Masks
KANDNB		AVX512DQ Bitwise Logical AND NOT Masks
KANDND		AVX512BW Bitwise Logical AND NOT Masks
KANDNQ		AVX512BW Bitwise Logical AND NOT Masks
KANDQ		AVX512BW Bitwise Logical AND Masks
KMOVB		AVX512DQ Move from and to Mask Registers
KMOVD		AVX512BW Move from and to Mask Registers
KMOVQ		AVX512BW Move from and to Mask Registers
KNOTB		AVX512DQ NOT Mask Register
KNOTD		AVX512BW NOT Mask Register
KNOTQ		AVX512BW NOT Mask Register
KORB		AVX512DQ Bitwise Logical OR Masks
KORD		AVX512BW Bitwise Logical OR Masks
KORQ		AVX512BW Bitwise Logical OR Masks
KORTESTB	AVX512DQ OR Masks And Set Flags
KORTESTD	AVX512BW OR Masks And Set Flags
KORTESTQ	AVX512BW OR Masks And Set Flags
KSHIFTLB	AVX512DQ Shift Left Mask Registers
KSHIFTLD	AVX512BW Shift Left Mask Registers
KSHIFTLQ	AVX512BW Shift Left Mask Registers
KSHIFTRB	AVX512DQ Shift Right Mask Registers
KSHIFTRD	AVX512BW Shift Right Mask Registers
KSHIFTRQ	AVX512BW Shift Right Mask Registers
KTESTB		AVX512DQ Packed Bit Test Masks and Set Flags
KTESTD		AVX512BW Packed Bit Test Masks and Set Flags
KTESTQ		AVX512BW Packed Bit Test Masks and Set Flags
KTESTW		AVX512DQ Packed Bit Test Masks and Set Flags
KUNPCKDQ	AVX512BW Unpack for Mask Registers
KUNPCKWD	AVX512BW Unpack for Mask Registers
KXNORB		AVX512DQ Bitwise Logical XNOR Masks
KXNORD		AVX512BW Bitwise Logical XNOR Masks
KXNORQ		AVX512BW Bitwise Logical XNOR Masks
KXORB		AVX512DQ Bitwise Logical XOR Masks
KXORD		AVX512BW Bitwise Logical XOR Masks
KXORQ		AVX512BW Bitwise Logical XOR Masks
VADDPD		AVX512VL Add Packed Double-Precision Floating-Point Values
VADDPS		AVX512VL Add Packed Single-Precision Floating-Point Values
VALIGND		AVX512VL Align Doubleword Vectors
VALIGNQ		AVX512VL Align Quadword Vectors
VANDNPD		AVX512DQ AVX512VL Bitwise Logical AND NOT of Packed Double-Precision Floating-Point Values
VANDNPS		AVX512DQ AVX512VL Bitwise Logical AND NOT of Packed Single-Precision Floating-Point Values
VANDPD		AVX512VL AVX512DQ Bitwise Logical AND of Packed Double-Precision Floating-Point Values
VANDPS		AVX512VL AVX512DQ Bitwise Logical AND of Packed Single-Precision Floating-Point Values
VBLENDMPD		AVX512VL Blend Float64/Float32 Vectors Using an OpMask Control
VBLENDMPS		AVX512VL Blend Float64/Float32 Vectors Using an OpMask Control
VBROADCASTF32X2		AVX512DQ AVX512VL Broadcast Two Single-Precision Floating-Point Data
VBROADCASTF32X4		AVX512VL Broadcast 128 bits of 4 Single-Precision Floating-Point Data
VBROADCASTF32X8		AVX512DQ Broadcast 256 bits of 8 Single-Precision Floating-Point Data
VBROADCASTF64X2		AVX512DQ AVX512VL Broadcast 128 bits of 2 Double-Precision Floating-Point Data
VBROADCASTI32x2		AVX512DQ AVX512VL Broadcast Two Dword Data
VBROADCASTI32X4		AVX512VL Broadcast 128 bits of 4 Doubleword Integer Data
VBROADCASTI32X8		AVX512DQ Broadcast 256 bits of 8 Doubleword Integer Data
VBROADCASTI64X2		AVX512DQ AVX512VL Broadcast 128 bits of 2 Quadword Integer Data
VBROADCASTSS		AVX512VL Broadcast Low Single-Precision Floating-Point Data
VCMPPD		AVX512VL Compare Packed Double-Precision Floating-Point Values
VCMPPS		AVX512VL Compare Packed Single-Precision Floating-Point Values
VCOMPRESSPD		AVX512VL Store Sparse Packed Double-Precision Floating-Point Values into Dense Memory
VCOMPRESSPS		AVX512VL Store Sparse Packed Single-Precision Floating-Point Values into Dense Memory
VCVTDQ2PD		AVX512VL Convert Packed Dword Integers to Packed Double-Precision FP Values
VCVTDQ2PS		AVX512VL Convert Packed Dword Integers to Packed Single-Precision FP Values
VCVTPD2DQ		AVX512VL Convert Packed Double-Precision FP Values to Packed Dword Integers
VCVTPD2PS		AVX512VL Convert Packed Double-Precision FP Values to Packed Single-Precision FP Values
VCVTPD2QQ		AVX512VL AVX512DQ Convert Packed Double-Precision Floating-Point Values to Packed Quadword Integers
VCVTPD2UDQ		AVX512VL Convert Packed Double-Precision Floating-Point Values to Packed Unsigned Doubleword Integers
VCVTPD2UQQ		AVX512DQ AVX512VL Convert Packed Double-Precision Floating-Point Values to Packed Unsigned Quadword Integers
VCVTPH2PS		AVX512VL Convert 16-bit FP values to Single-Precision FP values
VCVTPS2DQ		AVX512VL Convert Packed Single-Precision FP Values to Packed Dword Integers
VCVTPS2PD		AVX512VL Convert Packed Single-Precision FP Values to Packed Double-Precision FP Values
VCVTPS2PH		AVX512VL Convert Single-Precision FP value to 16-bit FP value
VCVTPS2QQ		AVX512VL AVX512DQ Convert Packed Single Precision Floating-Point Values to Packed Singed Quadword Integer Values
VCVTPS2UDQ		AVX512VL Convert Packed Single-Precision Floating-Point Values to Packed Unsigned Doubleword Integer Values
VCVTPS2UQQ		AVX512DQ AVX512VL Convert Packed Single Precision Floating-Point Values to Packed Unsigned Quadword Integer Values
VCVTQQ2PD		AVX512VL AVX512DQ Convert Packed Quadword Integers to Packed Double-Precision Floating-Point Values
VCVTQQ2PS		AVX512VL AVX512DQ Convert Packed Quadword Integers to Packed Single-Precision Floating-Point Values
VCVTTPD2DQ		AVX512VL Convert with Truncation Packed Double-Precision FP Values to Packed Dword Integers
VCVTTPD2QQ		AVX512DQ AVX512VL Convert with Truncation Packed Double-Precision Floating-Point Values to Packed Quadword Integers
VCVTTPD2UDQ		AVX512VL Convert with Truncation Packed Double-Precision Floating-Point Values to Packed Unsigned Doubleword Integers
VCVTTPD2UQQ		AVX512DQ AVX512VL Convert with Truncation Packed Double-Precision Floating-Point Values to Packed Unsigned Quadword Integers
VCVTTPS2DQ		AVX512VL Convert with Truncation Packed Single-Precision FP Values to Packed Dword Integers
VCVTTPS2QQ		AVX512VL AVX512DQ Convert with Truncation Packed Single Precision Floating-Point Values to Packed Singed Quadword Integer Values
VCVTTPS2UDQ		AVX512VL Convert with Truncation Packed Single-Precision Floating-Point Values to Packed Unsigned Doubleword Integer Values
VCVTTPS2UQQ		AVX512DQ AVX512VL Convert with Truncation Packed Single Precision Floating-Point Values to Packed Unsigned Quadword Integer Values
VCVTUDQ2PD		AVX512VL Convert Packed Unsigned Doubleword Integers to Packed Double-Precision Floating-Point Values
VCVTUDQ2PS		AVX512VL Convert Packed Unsigned Doubleword Integers to Packed Single-Precision Floating-Point Values
VCVTUQQ2PD		AVX512VL AVX512DQ Convert Packed Unsigned Quadword Integers to Packed Double-Precision Floating-Point Values
VCVTUQQ2PS		AVX512VL AVX512DQ Convert Packed Unsigned Quadword Integers to Packed Single-Precision Floating-Point Values
VDBPSADBW		AVX512VL AVX512BW Double Block Packed Sum-Absolute-Differences (SAD) on Unsigned Bytes
VDIVPD		    AVX512VL Divide Packed Double-Precision Floating-Point Values
VDIVPS		    AVX512VL Divide Packed Single-Precision Floating-Point Values
VEXP2PD		    AVX512ER Approximation to the Exponential 2^x of Packed Double-Precision Floating-Point Values with Less Than 2^-23 Relative Error
VEXP2PS		    AVX512ER Approximation to the Exponential 2^x of Packed Single-Precision Floating-Point Values with Less Than 2^-23 Relative Error
VEXPANDPD		AVX512VL Load Sparse Packed Double-Precision Floating-Point Values from Dense Memory
VEXPANDPS		AVX512VL Load Sparse Packed Single-Precision Floating-Point Values from Dense Memory
VEXTRACTF32X4	AVX512VL Extract 128 bits of Packed Single-Precision Floating-Point Values
VEXTRACTF64X2	AVX512VL Extract 128 bits of Packed Double-Precision Floating-Point Values
VEXTRACTI32X4	AVX512VL Extract 128 bits of Packed Single-Precision Floating-Point Values
VEXTRACTI64X2	AVX512VL AVX512DQ Extract 128 bits of Quadword integer Values
VFIXUPIMMPD		AVX512VL Fix Up Special Packed Float64 Values
VFIXUPIMMPS		AVX512VL Fix Up Special Packed Float32 Values
VFMADD132PD		AVX512VL Multiply Packed Double-Precision Floating-Point Values
VFMADD132PS		AVX512VL Multiply Packed Single-Precision Floating-Point Values
VFMADD213PD		AVX512VL Multiply Packed Double-Precision Floating-Point Values
VFMADD213PS		AVX512VL Multiply Packed Single-Precision Floating-Point Values
VFMADD231PD		AVX512VL Multiply Packed Double-Precision Floating-Point Values
VFMADD231PS		AVX512VL Multiply Packed Single-Precision Floating-Point Values
VFMADDSUB132PD	AVX512VL Multiply Packed Double-Precision Floating-Point Values
VFMADDSUB132PS	AVX512VL Multiply Packed Single-Precision Floating-Point Values
VFMADDSUB213PD	AVX512VL Multiply Packed Double-Precision Floating-Point Values
