# 3.14 FMA Instructions
# Table 31  FMA Instructions
# Intel/AMD Mnemonic			Description
VFMADD132PD			Fused Multiply-Add of Packed Double-Precision Floating-Point Values
VFMADD213PD			Fused Multiply-Add of Packed Double-Precision Floating-Point Values
VFMADD231PD			Fused Multiply-Add of Packed Double-Precision Floating-Point Values			
VFMADD132PD			Fused Multiply-Add of Packed Double-Precision Floating-Point Values
VFMADD213PD			Fused Multiply-Add of Packed Double-Precision Floating-Point Values
VFMADD231PD			Fused Multiply-Add of Packed Double-Precision Floating-Point Values			
VFMADD132PD			Fused Multiply-Add of Packed Double-Precision Floating-Point Values
VFMADD213PD			Fused Multiply-Add of Packed Double-Precision Floating-Point Values
VFMADD231PD			Fused Multiply-Add of Packed Double-Precision Floating-Point Values			
VFMADD132PS			Fused Multiply-Add of Packed Single-Precision Floating-Point
VFMADD213PS			Fused Multiply-Add of Packed Single-Precision Floating-Point
VFMADD231PS			Fused Multiply-Add of Packed Single-Precision Floating-Point			
VFMADD132PS			Fused Multiply-Add of Packed Single-Precision Floating-Point
VFMADD213PS			Fused Multiply-Add of Packed Single-Precision Floating-Point
VFMADD231PS			Fused Multiply-Add of Packed Single-Precision Floating-Point			
VFMADD132PS			Fused Multiply-Add of Packed Single-Precision Floating-Point
VFMADD213PS			Fused Multiply-Add of Packed Single-Precision Floating-Point
VFMADD231PS			Fused Multiply-Add of Packed Single-Precision Floating-Point			
VFMADD132SD			Fused Multiply-Add of Packed Single-Precision Floating-Point
VFMADD213SD			Fused Multiply-Add of Packed Single-Precision Floating-Point
VFMADD231SD			Fused Multiply-Add of Scalar Double-Precision Floating-Point			
VFMADD132SD			Fused Multiply-Add of Scalar Double-Precision Floating-Point
VFMADD213SD			Fused Multiply-Add of Scalar Double-Precision Floating-Point
VFMADD231SD			Fused Multiply-Add of Scalar Double-Precision Floating-Point			
VFMADD132SD			Fused Multiply-Add of Scalar Double-Precision Floating-Point
VFMADD213SD			Fused Multiply-Add of Scalar Double-Precision Floating-Point
VFMADD231SD			Fused Multiply-Add of Scalar Double-Precision Floating-Point			
VFMADD132SS			Fused Multiply-Add of Scalar Double-Precision Floating-Point
VFMADD213SS			Fused Multiply-Add of Scalar Double-Precision Floating-Point
VFMADD231SS			Fused Multiply-Add of Scalar Single-Precision Floating-Point			
VFMADD132SS			Fused Multiply-Add of Scalar Double-Precision Floating-Point
VFMADD213SS			Fused Multiply-Add of Scalar Double-Precision Floating-Point
VFMADD231SS			Fused Multiply-Add of Scalar Single-Precision Floating-Point			
VFMADD132SS			Fused Multiply-Add of Scalar Double-Precision Floating-Point
VFMADD213SS			Fused Multiply-Add of Scalar Double-Precision Floating-Point
VFMADD231SS			Fused Multiply-Add of Scalar Single-Precision Floating-Point			
VFMADDSUB132PD		Fused Multiply-Alternating Add/Subtract of Packed
VFMADDSUB213PD		Fused Multiply-Alternating Add/Subtract of Packed
VFMADDSUB231PD		Fused Multiply-Alternating Add/Subtract of Packed
VFMADDSUB132PD		Fused Multiply-Alternating Add/Subtract of Packed
VFMADDSUB213PD		Fused Multiply-Alternating Add/Subtract of Packed
VFMADDSUB231PD		Fused Multiply-Alternating Add/Subtract of Packed			
VFMADDSUB132PD		Fused Multiply-Alternating Add/Subtract of Packed
VFMADDSUB213PD		Fused Multiply-Alternating Add/Subtract of Packed
VFMADDSUB231PD		Fused Multiply-Alternating Add/Subtract of Packed			
VFMADDSUB132PS		Fused Multiply-Alternating Add/Subtract of Packed
VFMADDSUB213PS		Fused Multiply-Alternating Add/Subtract of Packed
VFMADDSUB231PS		Fused Multiply-Alternating Add/Subtract of Packed			
VFMADDSUB132PS		Fused Multiply-Alternating Add/Subtract of Packed
VFMADDSUB213PS		Fused Multiply-Alternating Add/Subtract of Packed
VFMADDSUB231PS		Fused Multiply-Alternating Add/Subtract of Packed			
VFMADDSUB132PS		Fused Multiply-Alternating Add/Subtract of Packed
VFMADDSUB213PS		Fused Multiply-Alternating Add/Subtract of Packed
VFMADDSUB231PS		Fused Multiply-Alternating Add/Subtract of Packed			
VFMSUB132PD			Fused Multiply-Subtract of Packed Double-Precision Floating-Point
VFMSUB213PD			Fused Multiply-Subtract of Packed Double-Precision Floating-Point
VFMSUB231PD			Fused Multiply-Subtract of Packed Double-Precision Floating-Point			
VFMSUB132PD			Fused Multiply-Subtract of Packed Double-Precision Floating-Point
VFMSUB213PD			Fused Multiply-Subtract of Packed Double-Precision Floating-Point
VFMSUB231PD			Fused Multiply-Subtract of Packed Double-Precision Floating-Point			
VFMSUB132PD         Fused Multiply-Subtract of Packed Double-Precision Floating-Point
VFMSUB213PD         Fused Multiply-Subtract of Packed Double-Precision Floating-Point
VFMSUB231PD			Fused Multiply-Subtract of Packed Double-Precision Floating-Point			
VFMSUB132PS         Fused Multiply-Subtract of Packed Single-Precision Floating-Point
VFMSUB213PS         Fused Multiply-Subtract of Packed Single-Precision Floating-Point
VFMSUB231PS			Fused Multiply-Subtract of Packed Single-Precision Floating-Point			
VFMSUB132PS         Fused Multiply-Subtract of Packed Single-Precision Floating-Point
VFMSUB213PS         Fused Multiply-Subtract of Packed Single-Precision Floating-Point
VFMSUB231PS			Fused Multiply-Subtract of Packed Single-Precision Floating-Point			
VFMSUB132PS         Fused Multiply-Subtract of Packed Single-Precision Floating-Point
VFMSUB213PS         Fused Multiply-Subtract of Packed Single-Precision Floating-Point
VFMSUB231PS			Fused Multiply-Subtract of Packed Single-Precision Floating-Point			
VFMSUB132SD         Fused Multiply-Subtract of Scalar Double-Precision Floating-Point
VFMSUB213SD         Fused Multiply-Subtract of Scalar Double-Precision Floating-Point
VFMSUB231SD			Fused Multiply-Subtract of Scalar Double-Precision Floating-Point			
VFMSUB132SD         Fused Multiply-Subtract of Scalar Double-Precision Floating-Point
VFMSUB213SD         Fused Multiply-Subtract of Scalar Double-Precision Floating-Point
VFMSUB231SD			Fused Multiply-Subtract of Scalar Double-Precision Floating-Point			
