# 3.2 General-Purpose Instructions
# copied from https://docs.oracle.com/cd/E37838_01/html/E61064/ennbz.html#scrolltoc 

# 3.2.1 Data Transfer Instructions
BSWAP	byte swap
CBW		convert byte to word
CDQ		convert doubleword to quadword
CDQE	convert doubleword to quadword
CMOVA	conditional move if above
CMOVAE	conditional move if above or equal
CMOVB	conditional move if below
CMOVBE	conditional move if below or equal
CMOVC	conditional move if carry
CMOVE	conditional move if equal
CMOVG	conditional move if greater
CMOVGE	conditional move if greater or equal
CMOVL	conditional move if less
COMVLE	conditional move if less or equal
CMOVNA	conditional move if not above
CMOVNAE	conditional move if not above or equal
CMOVNB	conditional move if not below
CMOVNBE	conditional move if not below or equal
CMOVNC	conditional move if not carry
CMOVNE	conditional move if not equal
CMOVNG	conditional move if greater
CMOVNGE	conditional move if not greater or equal
CMOVNL	conditional move if not less
CMOVNLE	conditional move if not above or equal
CMOVNO	conditional move if not overflow
CMOVNP	conditional move if not parity
CMOVNS	conditional move if not sign (non-negative)
CMOVNZ	conditional move if not zero
CMOVO	conditional move if overflow
CMOVP	conditional move if parity
CMOVPE	conditional move if parity even
CMOVPO	conditional move if parity odd
CMOVS	conditional move if sign (negative)
CMOVZ	conditional move if zero
CMPXCHG	compare and exchange
CMPXCHG8B	compare and exchange 8 bytes
CQO		convert quadword to octword
CQO		convert quadword to octword
CWD		convert word to doubleword
CWDE	convert word to doubleword in %eax register
INVPCID Invalidate Process-Context Identifierpage 3-416 (253666-048US/Sep.2013)mov{bwlq}
MOV		move data between immediate values, general purpose registers, segment registers, and memory
MOVABS	move immediate value to register
MOVABS	move immediate value to register {AL, AX, GAX, RAX}
MOVSX	move and sign extend
MOVZX	move and zero extend
POP		pop stack
POPA	pop general-purpose registers from stack
POPAD	pop general-purpose registers from stack
PUSH	push onto stack
PUSHA	push general-purpose registers onto stack
PUSHAD	push general-purpose registers onto stack
XADD	exchange and add
XCHG	exchange
XCHG	exchange

# 3.2.2 Binary Arithmetic Instructions
ADC		add with carry
ADD		integer add
CMP		compare
DEC		decrement
DIV		divide (unsigned)
IDIV	divide (signed)
IMUL	multiply (signed)
INC		increment
